layer,original,predicted
2,stab_int_type.lto_priv.0,initialize_data_structure_0010b800
2,stab_struct_field.lto_priv.0,generate_warning_message_0010ba08
2,stab_typedef_type.lto_priv.0,lookup_and_initialize_data_structure_0010bba1
2,stab_record_variable,process_record_0010c139
2,stab_emit_pending_vars,process_records_0010c1c6
2,stab_find_type,improve_data_type_0010c2d2
2,coff_get_slot.lto_priv.0,allocate_and_initialize_slots_0010da0b
2,stab_write_symbol.lto_priv.0,process_string_0010e2f0
2,get_file_size,check_file_00113f50
2,find_section_list,find_matching_entry_00114190
2,init_section_add,parse_parameter_00114c80
2,section_add_load_file,read_and_store_file_contents_00114d60
2,FUN_00114dc7,read_and_resize_buffer_00114dc7
2,check_new_section_flags,drop_share_flag_if_not_coff_00115f30
2,parse_vma,check_and_print_error_00119940
2,display_info.isra.0,print_binary_info_001199d0
2,create_new_symbol,extract_section_info_0011a2e0
2,set_times,set_file_time_0011a350
3,FUN_00104ea2,extract_and_copy_archive_00104ea2
3,FUN_00108179,set_alignment_00108179
3,smart_rename.cold,copy_file_and_set_time_00108200
3,FUN_0010829e,process_input_0010829e
3,stab_pointer_type.lto_priv.0,process_data_0010a083
3,stab_reference_type.lto_priv.0,process_data_0010a0a0
3,stab_const_type.lto_priv.0,process_data_0010a0bd
3,stab_volatile_type.lto_priv.0,process_data_0010a0d3
3,stab_method_type.lto_priv.0,process_data_0010a424
3,stab_float_type.lto_priv.0,initialize_data_structure_0010b948
3,finish_stab,process_debug_data_0010c892
3,stab_start_source.lto_priv.0,set_param_and_process_string_0010e439
3,stab_start_compilation_unit.lto_priv.0,set_param_and_process_string_thunk_0010e439
3,stab_enum_type.lto_priv.0,initialize_data_structure_0010e453
3,stab_function_type.lto_priv.0,process_data_0010e5db
3,stab_typdef.lto_priv.0,process_and_store_string_0010e6a8
3,stab_tag.lto_priv.0,process_and_format_string_0010e7c2
3,stab_int_constant.lto_priv.0,process_and_format_string_0010e842
3,stab_float_constant.lto_priv.0,process_and_free_string_0010e8a9
3,stab_typed_constant.lto_priv.0,process_and_free_string_0010e918
3,stab_variable.lto_priv.0,process_string_0010e9a0
3,stab_start_function.lto_priv.0,process_string_0010eafe
3,stab_function_parameter.lto_priv.0,process_and_free_string_0010ebb0
3,stab_start_block.lto_priv.0,process_data_0010ec73
3,stab_end_block.lto_priv.0,update_max_value_0010ed2c
3,stab_lineno.lto_priv.0,process_file_0010edb4
3,parse_stab,process_debug_info_0011173a
3,parse_coff_symbol.constprop.0.isra.0,process_parameter_00112a33
3,add_specific_symbols,read_and_process_file_00114460
3,copy_file,extract_and_copy_archive_00114690
3,handle_remove_section_option,process_data_00114c20
3,smart_rename,copy_and_delete_file_00115970
4,setup_section.cold,set_size_and_alignment_00108072
4,debug_write_linenos.constprop.0,process_files_00112502
4,is_strip_section_1.isra.0,process_section_00115b70
5,is_strip_section.isra.0,process_binary_section_001159d0
6,setup_section,process_binary_section_00115530
6,skip_section,check_binary_section_00115f50
7,copy_relocations_in_section,process_binary_section_00115dc0
7,copy_section,reverse_section_00116110
8,debug_get_real_type.isra.0,get_real_type_00112b6e
9,debug_get_fields.isra.0,get_real_type_00113b1e
10,debug_type_samep,check_equality_0010922b
11,debug_set_class_id.lto_priv.0,set_class_id_0010c7a0
12,debug_write_type.constprop.0,process_data_structure_00112c1f
13,stab_demangle_template,parse_and_extract_data_0010d21c
13,stab_demangle_arg,process_data_0010d7d4
13,stab_demangle_function_name.constprop.0,check_and_process_type_00113e5e
14,stab_demangle_qualified,parse_and_extract_data_0010d559
14,stab_demangle_args,parse_and_process_data_0010d882
15,stab_demangle_type.lto_priv.0,parse_and_initialize_data_0010c95e
16,parse_coff_struct_type,extract_and_initialize_data_0010e07c
17,parse_coff_type.lto_priv.0,parse_coff_type_0010dac0
18,write_stabs_in_sections_debugging_info.constprop.0,analyze_input_0011378f
19,FUN_0010554f,process_debug_info_0010554f
20,merge_gnu_build_notes.cold,execute_initialization_0010847a
21,stab_demangle_v3_arglist,demangle_arglist_0010b6ea
22,stab_demangle_v3_arg,demangle_and_initialize_data_0010b0fa
23,debug_write_name.constprop.0,process_data_001135a5
24,debug_write_block.constprop.0,process_files_recursive_00113a4d
25,FUN_00116490,process_build_attribute_notes_00116490
26,FUN_001086af,process_build_attribute_notes_001086af
27,merge_gnu_build_notes,process_build_attribute_notes_001163d0
28,copy_object.cold,process_binary_file_0010551d
